,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
40,02-01-2025,17,16520.3,16420.38,11750.87,11750.87,3894.97,3891.29
41,02-01-2025,18,14744.38,9359.55,8708.06,8708.06,7515.19,7294.03
42,02-01-2025,19,16129.85,7954.8,7898.8,7898.8,10000.0,10000.0
43,02-01-2025,20,11968.25,9620.25,6699.13,6699.13,4834.75,4839.85
44,02-01-2025,21,9785.75,12675.3,6042.13,6042.13,3594.53,3600.72
45,02-01-2025,22,9924.3,17518.9,6923.4,6923.4,3369.56,3370.92
46,02-01-2025,23,10112.58,22498.73,7758.58,7758.58,3008.8,3006.36
47,02-01-2025,24,10983.05,25805.65,9033.68,9033.68,2678.72,2678.12
48,03-01-2025,1,10269.75,32547.25,8919.23,8919.23,2095.95,2096.74
49,03-01-2025,2,10630.13,34529.5,9267.11,9267.11,2108.89,2108.94
50,03-01-2025,3,10261.33,35157.4,9272.47,9272.47,2009.75,2009.71
51,03-01-2025,4,10178.6,35717.85,9201.6,9201.6,1999.77,1999.77
52,03-01-2025,5,10426.9,34446.38,9332.75,9332.75,2038.1,2038.41
53,03-01-2025,6,10938.93,27678.63,9401.38,9401.38,2474.45,2468.82
54,03-01-2025,7,12538.6,19196.08,9923.08,9923.08,3364.6,3367.39
55,03-01-2025,8,17897.1,14972.78,11865.65,11865.65,4798.06,4820.94
56,03-01-2025,9,20042.93,13312.3,12011.88,12011.88,5908.57,5909.1
57,03-01-2025,10,18412.7,13737.65,11489.33,11489.33,5186.39,5186.86
58,03-01-2025,11,15912.9,14849.18,10268.19,10268.19,4489.61,4488.28
59,03-01-2025,12,14422.63,17909.9,9389.99,9389.99,3469.73,3472.41
60,03-01-2025,13,11469.6,22816.73,8570.28,8570.28,2990.41,2990.7
61,03-01-2025,14,10421.23,28237.83,8361.83,8361.83,2650.86,2652.86
62,03-01-2025,15,13143.8,29306.33,10855.23,10855.23,2964.04,2966.26
63,03-01-2025,16,15539.33,24965.55,11886.12,11886.12,3265.09,3270.44
64,03-01-2025,17,15776.5,16741.33,11372.23,11372.23,3781.95,3779.6
